x,y,z,stage,ratio
10.5909799924,220.8257986353,393.4284792113,8.3,0.074
3.3320105757,220.0434490667,396.8032379804,8.4,0.101
-83.6358901331,210.6703141636,437.2353804364,10.0,0.258
